SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliFASTHMMTEST","GTR","none","5c98a1f",5,2053,NA
"ecoliFASTHMMTEST","GTR","none","5c98a1f",1,2054,NA
"ecoliFASTHMMTEST","GTR","none","5c98a1f",5,2053,-127.604
"ecoliFASTHMMTEST","GTR","none","5c98a1f",1,2054,-84.687
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3010,-61.224
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3013,-76.082
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3014,-89.631
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3011,-35.190
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3015,-31.249
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3012,-37.663
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3016,-78.803
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3019,-40.689
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3020,-110.213
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3017,-111.188
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3021,-61.456
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3018,-54.849
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3022,-37.222
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3025,-93.035
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3026,-79.436
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3023,-85.885
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3027,-37.166
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3024,-126.938
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3028,-132.982
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3031,-27.835
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3032,-36.764
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3029,-91.661
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3033,-71.262
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3030,-29.095
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3034,-76.807
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3037,-131.566
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3038,-66.032
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3035,-65.595
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3039,-30.716
"ecoliFASTHMMTEST","UNREST","none","5c98a1f",1,3036,-43.680
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3010,-57.875
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3013,-74.729
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3014,-83.068
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3011,-33.889
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3015,-29.419
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3012,-36.459
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3016,-76.398
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3019,-37.391
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3020,-109.447
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3017,-101.951
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3021,-60.789
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3018,-53.196
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3022,-36.140
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3025,-86.202
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3026,-74.331
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3023,-84.684
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3027,-33.179
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3024,-120.111
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3028,-126.580
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3031,-24.916
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3032,-32.469
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3029,-80.846
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3033,-63.653
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3030,-28.436
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3034,-71.241
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3037,-129.345
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3038,-64.452
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3035,-63.475
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3039,-30.121
"ecoliFASTHMMTEST","UNREST","median","5c98a1f",1,3036,-41.697
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3010,-60.672
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3013,-75.794
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3014,-88.194
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3011,-34.976
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3015,-31.026
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3012,-37.488
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3016,-78.104
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3019,-40.209
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3020,-110.034
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3017,-109.195
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3021,-61.281
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3018,-54.563
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3022,-37.017
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3025,-91.461
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3026,-78.479
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3023,-85.669
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3027,-36.648
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3024,-125.221
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3028,-131.510
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3031,-27.396
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3032,-36.031
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3029,-87.294
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3033,-70.006
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3030,-28.896
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3034,-75.327
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3037,-131.348
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3038,-65.656
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3035,-65.254
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3039,-30.553
"ecoliFASTHMMTEST","UNREST","quadrature","5c98a1f",1,3036,-43.437
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3010,-60.982
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3013,-77.197
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3014,-86.144
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3011,-38.627
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3015,-34.214
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3012,-43.264
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3016,-78.708
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3019,-43.284
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3020,-111.599
"ecoliFASTHMMTEST","UNREST","lognormal","5c98a1f",1,3017,-103.667
