SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliHMMEVAL50","GTR","none","5c98a1f",1,2054,-420.155
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3010,-499.398
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3013,-495.010
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3014,-504.560
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3011,-438.861
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3015,-421.665
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3012,-495.036
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3016,-416.328
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3019,-520.589
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3020,-455.958
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3017,-414.186
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3021,-434.858
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3018,-463.750
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3022,-430.289
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3025,-484.282
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3026,-413.938
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3023,-428.370
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3027,-389.301
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3024,-520.238
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3028,-497.074
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3031,-429.708
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3032,-366.173
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3029,-551.832
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3033,-457.203
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3030,-368.892
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3034,-478.150
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3037,-515.850
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3038,-410.247
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3035,-393.205
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3039,-540.735
"ecoliHMMEVAL50","UNREST","none","5c98a1f",1,3036,-539.871
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3010,-522.764
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3013,-517.912
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3014,-525.081
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3011,-464.296
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3015,-449.519
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3012,-532.595
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3016,-453.840
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3019,-555.097
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3020,-480.357
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3017,-448.199
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3021,NA
"ecoliHMMEVAL50","UNREST","median","5c98a1f",1,3022,NA
"ecoliHMMEVAL50","GTR","none","ade1e58",1,2054,-420.155
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3010,-499.398
"ecoliHMMEVAL50","UNREST","none","ade1e58",1,3013,-495.010
"ecoliHMMEVAL50","GTR","none","2a6c393",1,2054,NA
"ecoliHMMEVAL50","GTR","none","5eec8b6",1,2054,NA
"ecoliHMMEVAL50","GTR","none","86cc7e9",1,2054,420.155
"ecoliHMMEVAL50","GTR","none","f1c3d1e",1,2054,-420.155
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3010,-498.274
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3013,-495.254
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3014,-504.265
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3011,-440.058
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3015,-423.676
"ecoliHMMEVAL50","UNREST","quadrature","5c98a1f",1,3012,-497.114
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3010,-499.705
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3013,-503.411
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3014,-503.043
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3011,-441.228
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3015,-418.548
"ecoliHMMEVAL50","UNREST","lognormal","5c98a1f",1,3012,-503.427
