SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliHMMEVALFULL","GTR","none","5c98a1f",10,2053,-2605.123
"ecoliHMMEVALFULL","GTR","none","5c98a1f",1,2053,-2605.123
"ecoliHMMEVALFULL","GTR","none","ade1e58",10,2053,-2605.123
"ecoliHMMEVALFULL","GTR","none","ade1e58",1,2053,-2605.123
"ecoliHMMEVALFULL","GTR","none","2a6c393",10,2053,NA
"ecoliHMMEVALFULL","GTR","none","5eec8b6",10,2053,NA
"ecoliHMMEVALFULL","GTR","none","86cc7e9",10,2053,2605.122
"ecoliHMMEVALFULL","GTR","none","f1c3d1e",10,2053,-2605.122
"ecoliHMMEVALFULL","GTR","none","e90938f",10,2053,NA
"ecoliHMMEVALFULL","GTR","none","ab3e84e",10,2053,-2605.122
