"","rab3e84e.self.time","r5c98a1f.self.time","rab3e84e.self.pct","r5c98a1f.self.pct","rab3e84e.total.time","r5c98a1f.total.time","rab3e84e.total.pct","r5c98a1f.total.pct","rab3e84e.mem.total","r5c98a1f.mem.total"
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",,0.05,,0.03,,172.9,,100,,884.5
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.05,0.03,0.03,0.05,160.875,0.03,99.645,7.6,665.15
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_none",,0.05,,0.03,,166.5875,,99.65,,677.925
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_none",,0.1,,0.0625,,159.4375,,99.6225,,665.9
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_none",,,,,,,,,,
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",0.0571428571428571,,0.0371428571428571,,149.8,,99.6314285714286,,34943.4285714286,
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_none",,0.0625,,0.0375,,161.1125,,99.575,,673.175
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_none",,159.533333333333,,99.0233333333333,,159.533333333333,,99.0233333333333,,623.166666666667
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.8,,0.515,,129.320833333333,,83.0733333333333,,30055.5583333333,
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",128.245833333333,,82.3791666666667,,128.279166666667,,82.4008333333333,,29801.9333333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",7.7,,4.94416666666667,,79.05,,50.7758333333333,,18353.9083333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",7.27083333333333,,4.67083333333333,,76.0083333333333,,48.8291666666667,,17668.8583333333,
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.05,0.03,0.03,158.194444444444,158.94,100,100,36702.5666666667,856.64
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",3.99166666666667,,2.56083333333333,,3.99166666666667,,2.56083333333333,,991.733333333333,
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",1.3125,,0.845,,1.3125,,0.845,,287.883333333333,
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_median",,,,,,,,,,
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",0.0777777777777778,0.0833333333333333,0.0155555555555556,0.01,573.088888888889,676.383333333333,99.8511111111111,99.8633333333333,132726.555555556,2706.6
