"","self.time.r38824ae","self.time.rf09bcd7","self.time.r4ea4356","self.time.rab3e84e","self.time.r5c98a1f","self.pct.r38824ae","self.pct.rf09bcd7","self.pct.r4ea4356","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.r38824ae","total.time.rf09bcd7","total.time.r4ea4356","total.time.rab3e84e","total.time.r5c98a1f","total.pct.r38824ae","total.pct.rf09bcd7","total.pct.r4ea4356","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.r38824ae","mem.total.rf09bcd7","mem.total.r4ea4356","mem.total.rab3e84e","mem.total.r5c98a1f","samples.r38824ae","samples.rf09bcd7","samples.r4ea4356","samples.rab3e84e","samples.r5c98a1f"
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",0,0.025,0.0291666666666667,0.0277777777777778,0,0,0.0683333333333333,0.0175,0.0183333333333333,0,0,5.91666666666667,79.3458333333333,74.5805555555555,0,0,16.3666666666667,49.8266666666667,49.815,0,0,1114.06666666667,18395.875,17391.7444444444,0,17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0.00833333333333333,0,0,0.0333333333333333,0.0111764705882353,0.0233333333333333,0,0,0.0216666666666667,1.49117647058824,5.89166666666667,0,0,78.3833333333333,5.73529411764706,16.365,0,0,49.8108333333333,291.923529411765,969.2,0,0,320.341666666667,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0.0541666666666667,0,0,0,0,0.0341666666666667,0,0,0,0,79.1125,0,0,0,0,49.8091666666667,0,0,0,0,327.508333333333,17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0.05,0,0,0,0,0.0316666666666667,0,0,0,0,119.708333333333,0,0,0,0,74.6708333333333,0,0,0,0,492.816666666667,17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,160.695833333333,0,0,0,0,99.0775,0,0,0,0,160.7,0,0,0,0,99.08,0,0,0,0,618.216666666667,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0.0125,0,0,0,0,0.0075,0,0,0,0,43.7625,0,0,0,0,24.9025,0,0,0,0,176.5,17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0,0.00833333333333333,0.0138888888888889,0.00833333333333333,0.0123529411764706,0,0.005,0.00888888888888889,0.005,0.00588235294117647,0,0.00833333333333333,0.0138888888888889,26.8125,0.0247058823529412,0,0.005,0.00888888888888889,16.6075,1.96470588235294,0,0.8,2.02777777777778,110.858333333333,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.208823529411765,0.491666666666667,0.783333333333333,0,0,0.8,1.4,0.503333333333333,0,0,3.15588235294118,7.38333333333333,130.258333333333,0,0,12.1088235294118,20.9383333333333,83.4433333333333,0,0,471.794117647059,1235.05,30232.3916666667,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0.00882352941176471,0.025,129.308333333333,0,0,0.0323529411764706,0.0716666666666667,82.835,0,0,0.561764705882353,3.21666666666667,129.3375,0,0,2.06470588235294,9.32666666666667,82.8541666666667,0,0,89.4823529411765,561.9,30018.2583333333,0,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0.75,0,0,0,0,0.487222222222222,0,0,0,0,128.188888888889,0,0,0,0,83.0744444444444,0,0,0,0,29835.2944444444,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,127.194444444444,0,0,0,0,82.4283333333333,0,0,0,0,127.222222222222,0,0,0,0,82.4466666666667,0,0,0,0,29604.4277777778,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",0,7.59166666666667,7.2625,0,0,0,21.4933333333333,4.65083333333333,0,0,0,14.9416666666667,79.1,0,0,0,42.305,50.6708333333333,0,0,0,2633.68333333333,18307.8916666667,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,7.65555555555556,0,0,0,0,4.97111111111111,0,0,0,0,78.4083333333333,0,0,0,0,50.815,0,0,0,0,18215.3555555556,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",0,7.04166666666667,7.4875,0,0,0,19.9216666666667,4.79,0,0,0,14.2166666666667,76.4,0,0,0,40.2683333333333,48.9416666666667,0,0,0,2785.15,17693.1416666667,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,7.29166666666667,0,0,0,0,4.73666666666667,0,0,0,0,75.2583333333333,0,0,0,0,48.785,0,0,0,0,17516.15,0,17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",0.0235294117647059,0.0166666666666667,0,0,0.00833333333333333,0.0876470588235294,0.0483333333333333,0,0,0.005,9.38235294117647,11.4166666666667,0,0,28.8166666666667,35.2941176470588,33.3333333333333,0,0,16.6666666666667,1842.19411764706,2168.05,0,0,147.416666666667,17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_none",0.00882352941176471,0.00833333333333333,0,0,0,0.0358823529411765,0.0233333333333333,0,0,0,4.45882352941176,6,0,0,0,17.6470588235294,16.6666666666667,0,0,0,826.488235294118,1000.11666666667,0,0,0,17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0,0,0,0.00416666666666667,0.01,0,0,0,0.0025,1.71470588235294,0,0,0,15.3333333333333,5.88235294117647,0,0,0,8.33333333333333,329.370588235294,0,0,0,75.6583333333333,17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_none",0.0411764705882353,0.05,0.05,0.0305555555555556,0.0375,0.157058823529412,0.141666666666667,0.03,0.0188888888888889,0.0241666666666667,21.7794117647059,35.3333333333333,156.104166666667,95.3861111111111,118.35,82.3529411764706,100,100,61.1111111111111,75,4201.11764705882,6475.25,36176.2083333333,22167.1,626.241666666667,17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_none",0.0117647058823529,0,0,0,0,0.0452941176470588,0,0,0,0,6.13823529411765,0,0,0,0,23.5294117647059,0,0,0,0,1186.87647058824,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_none",0.00882352941176471,0,0,0,0,0.0341176470588235,0,0,0,0,3.40588235294118,0,0,0,0,12.9994117647059,0,0,0,0,581.458823529412,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_none",7.16470588235294,0,0,0,0,27.43,0,0,0,0,14.0411764705882,0,0,0,0,53.7747058823529,0,0,0,0,2457.15882352941,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0,0.00833333333333333,0,0.00416666666666667,0.0111764705882353,0,0.005,0,0.0025,1.51176470588235,0,25.5375,0,14.3916666666667,5.79235294117647,0,16.6233333333333,0,8.31416666666667,283.470588235294,0,5913.68333333333,0,61.1333333333333,17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_none",4.02352941176471,5.89166666666667,0,0,0,15.3647058823529,16.705,0,0,0,4.58823529411765,6.65,0,0,0,17.5076470588235,18.8633333333333,0,0,0,798.941176470588,1075.98333333333,0,0,0,17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0.0970588235294118,0.141666666666667,0,0.0861111111111111,0,0.391176470588235,0.398333333333333,0,0.0538888888888889,0,3.40882352941176,6.56666666666667,0,0.0861111111111111,0,13.1788235294118,18.6283333333333,0,0.0538888888888889,0,572.647058823529,1063.03333333333,0,23.5777777777778,0,17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_none",4.65294117647059,5.04166666666667,0,0,0,17.8576470588235,14.2316666666667,0,0,0,4.90588235294118,5.24166666666667,0,0,0,18.8347058823529,14.795,0,0,0,829.317647058824,749.116666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_none",3.31176470588235,0,0,0,0,12.66,0,0,0,0,6.35294117647059,0,0,0,0,24.2335294117647,0,0,0,0,1511.17058823529,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,4.3,0,0,0,0,2.75916666666667,0,0,0,0,4.3,0,0,0,0,2.75916666666667,0,0,0,0,1025.06666666667,0,0,17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,4.03888888888889,0,0,0,0,2.61388888888889,0,0,0,0,4.03888888888889,0,0,0,0,2.61388888888889,0,0,0,0,986.516666666667,0,17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
